127.0.0.1 - - [07/Jun/2023:08:42:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:40 +0900] "GET /hospital/join.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:43 +0900] "GET /hospital/search.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:44 +0900] "GET /hospital/index.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:45 +0900] "GET /hospital/search.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:45 +0900] "GET /hospital/index.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:46 +0900] "GET /hospital/search.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:42:47 +0900] "GET /hospital/join.jsp HTTP/1.1" 200 424
